INPUT,REFERENCE,MACHINE_TRANSLATION,BLEU_SCORE,AVERAGE BLEU SCORE
ESDRAS,ezra,esdras,0.10754421249521595,
Idi umuna a tawen ni Ciro nga ari ti Persia tapno ti sao ni Jehova iti pannacaaramat ti ngiwat ni Jeremias matungpal coma ni Jehova tinignayna ti espiritu ni Ciro nga ari ti Persia iti casta isu nangaramid ti maysa a panangiwarragawag iti amin a pagarianna ket incabilna met idi surat a kinunana,nang unang taon nga ni ciro na hari sa persia upang ang salita ng panginoon sa pamamagitan ng bibig ni jeremias ay maganap kinilos ng panginoon ang diwa ni ciro na hari sa persia na siyay nagtanyag sa kaniyang buong kaharian at isinulat din naman na sinasabi,nang una na taon si ciro na hari ang persia upang ang salita si panginoon sa pamamagitan ang ngiwat si jeremias matungpal ang si panginoon kinilos ang espiritu si ciro na hari ang persia sa gayoy kaniyang gumawa ang isa na natangi sa lahat na mababantog at inilagay kaniyang nang inyo na kaniyang ,0.638100700787997,
Castoy ti cuna ni Ciro nga ari ti Persia Isuamin a pagpagarian ti daga inted caniac ni Jehova a Dios ti langit ket incumitna caniac nga isu ibangonac ti maysa a balay idiay Jerusalem nga adda sadi Juda,ganito ang sabi ni ciro na hari sa persia ibinigay sa akin ng panginoon ng dios ng langit ang lahat na kaharian sa lupa at ibinilin niya sa akin na ipagtayo ko siya ng isang bahay sa jerusalem na nasa juda,ganito ang sabi si ciro na hari ang persia isuamin na ito ang lupain ibinigay nagsalita si panginoon na dios ang langit at incumitna nagsalita na kaniyang ibangonac ang isa na bahay sa jerusalem na nagkaroon libano dios ,0.6418718269131503,
Uray siasinoman nga adda cadacayo amin nga ilina ti Diosna adda coma kencuana ket sumangat coma idiay Jerusalem nga adda sadi Juda ket bangonenna ti balay ni Jehova ti Dios ti Israel isu Dios nga adda idiay Jerusalem,sinoman sa inyo sa kaniyang buong bayan sumakaniya nawa ang kaniyang dios at umahon siya sa jerusalem na nasa juda at itayo ang bahay ng panginoon ng dios ng israel siyay dios na nasa jerusalem ,kahit sinomang na nagkaroon ko lahat na magbibigay ang dios nagkaroon ang kaniya at sumangat ang sa jerusalem na nagkaroon libano juda at bangonenna ang prinsipe si panginoon ang dios ang israel kaniyang ipinamamanhik na nagkaroon sa jerusalem ,0.5435310851950784,
Ken uray siasinoman a mabati iti uray ania a dissoa paggangannaetanna dagiti lallaki ti dissona isu ti tulonganda coma iti pirac ken iti balitoc ken cadagiti cucua ken cadagiti animal sabali laeng ti daton ti sibubulos a nakem a maipaay iti balay ti Dios nga adda idiay Jerusalem,at sinomang naiwan sa alinmang dako na kaniyang pinakikipamayanan tulungan siya ng mga lalake sa kaniyang kinaroroonan ng pilak at ng ginto at ng mga pagaari at ng mga hayop bukod sa kusang handog sa bahay ng dios na nasa jerusalem,sa kahit humipo na lumabis sa kahit alin na dissoa paggangannaetanna ang anak ang kaniyang kaniyang ang tulonganda ang sa pilak sa sa ginto sa sa pagaari sa sa hayop dios at ang handog ang handog na nakem na kaniyang sa bahay ang dios na nagkaroon sa jerusalem,0.5608918399395417,
Idi a casta timmacder dagiti pangpangoloen dagiti balbalay dagiti amma ti Juda ken ti Benjamin ken dagiti papadi ken dagiti Levitas amin met laeng a ti espirituda tinignay ti Dios tapno sumangat a mangbangon ti balay ni Jehova nga adda idiay Jerusalem,nang magkagayoy nagsibangon ang mga pangulo ng mga sangbahayan ng mga magulang ng juda at benjamin at ang mga saserdote at ang mga levita sa makatuwid bagay lahat na ang diway kinilos ng dios na magsiahong itayo ang bahay ng panginoon na nasa jerusalem,nang na gayoy siya ang naging ang balbalay ang sangbahayan ang juda sa ang benjamin sa ang saserdote sa ang levita lahat kaniyang at na ang espirituda tinignay ang dios upang sumangat na yaon ang prinsipe si panginoon na nagkaroon sa jerusalem,0.6061501809861408,
Ket amin dagiti adda idi iti aglicmut pinapigsada dagiti imimada cadagiti alalicamen a pirac balitoc sansanicua ken ananimal ken banbanag a napateg sabali laeng ti amin a naidaton iti sibubulos a nakem,at lahat na nangasa palibot nila ay nangagpatibay sa kanilang mga kamay ng mga sisidlang pilak ng ginto ng mga pagaari at ng mga hayop at ng mga mahalagang bagay bukod pa sa lahat na kusang inihandog,at lahat ang nagkaroon nang sa palibot pinapigsada ang kaniya sa alalicamen na pilak ginto sansanicua sa ananimal sa banbanag na bagay dios at ang lahat na naidaton sa handog na nakem,0.4726898530954212,
Casta met a ni ari Ciro inruarna dagiti alalicamen ti balay ni Jehova nga innala idi ni Nabucodonosor idiay Jerusalem ket incabilna idi iti balay dagiti didiosna,inilabas din naman ni ciro na hari ang mga sisidlan ng bahay ng panginoon na inilabas ni nabucodonosor sa jerusalem at inilagay sa bahay ng kaniyang mga dios,may din na si hari ciro inilabas ang alalicamen ang prinsipe si panginoon na innala nang si nabucodonosor sa jerusalem at inilagay nang sa bahay ang pamamagitan,0.6926000587499007,
Dagidiay met laeng ni Ciro nga ari ti Persia innalana iti pannacaaramat ti ima ni Mitridates a tesorero ket binilangna ida ken Sesbassar a pangolo ti Juda,sa makatuwid bagay yaong mga inilabas ni ciro na hari sa persia sa pamamagitan ng kamay ni mitridates na tagaingatyaman at mga binilang kay sesbassar na prinsipe sa juda,yaong kaniyang at si ciro na hari ang persia kinuha sa pamamagitan ang nanaig si mitridates na tesorero at binilang sila sa sesbassar na prinsipe ang juda,0.6336959981574711,
Ket daytoy ti bilang dagidiay tallopulo a patilambo a balitoc sangaribu a patilambo a pirac duapulo ket siam nga immoco,at ito ang bilang ng mga yaon tatlong pung pinggang ginto at isang libong pinggang pilak dalawang put siyam na sundang,at ito ang kampamento makatuwid tatlong na patilambo na ginto libo na patilambo na pilak ayon at siam na immoco,0.4221376283892096,
